Designator,Mid X,Mid Y,Rotation,Layer
C1,106.0,-110.47,270.0,bottom
C10,127.0,-113.475,270.0,bottom
C11,139.0,-113.475,270.0,bottom
C12,151.0,-113.475,270.0,bottom
C13,163.0,-113.475,270.0,bottom
C14,175.0,-113.475,270.0,bottom
C15,105.0,-116.475,270.0,bottom
C16,117.0,-116.475,270.0,bottom
C17,129.0,-116.475,270.0,bottom
C18,141.0,-116.475,270.0,bottom
C19,153.0,-116.475,270.0,bottom
C2,118.0,-110.47,270.0,bottom
C20,165.0,-116.475,270.0,bottom
C21,177.0,-116.475,270.0,bottom
C22,98.0,-119.475,270.0,bottom
C23,110.0,-119.475,270.0,bottom
C24,122.0,-119.475,270.0,bottom
C25,134.0,-119.475,270.0,bottom
C26,146.0,-119.475,270.0,bottom
C27,158.0,-119.475,270.0,bottom
C28,170.0,-119.475,270.0,bottom
C29,100.0,-122.475,270.0,bottom
C3,130.0,-110.47,270.0,bottom
C30,112.0,-122.475,270.0,bottom
C31,124.0,-122.475,270.0,bottom
C32,136.0,-122.475,270.0,bottom
C33,148.0,-122.475,270.0,bottom
C34,160.0,-122.475,270.0,bottom
C35,172.0,-122.475,270.0,bottom
C36,96.0,-125.475,270.0,bottom
C37,108.0,-125.475,270.0,bottom
C38,120.0,-125.475,270.0,bottom
C39,132.0,-125.475,270.0,bottom
C4,142.0,-110.47,270.0,bottom
C40,144.0,-125.475,270.0,bottom
C41,156.0,-125.475,270.0,bottom
C42,168.0,-125.475,270.0,bottom
C43,98.0,-128.475,270.0,bottom
C44,110.0,-128.475,270.0,bottom
C45,122.0,-128.475,270.0,bottom
C46,134.0,-128.475,270.0,bottom
C47,146.0,-128.475,270.0,bottom
C48,158.0,-128.475,270.0,bottom
C49,170.0,-128.475,270.0,bottom
C5,154.0,-110.47,270.0,bottom
C50,100.0,-131.475,270.0,bottom
C51,112.0,-131.475,270.0,bottom
C52,124.0,-131.475,270.0,bottom
C53,136.0,-131.475,270.0,bottom
C54,148.0,-131.475,270.0,bottom
C55,160.0,-131.475,270.0,bottom
C56,172.0,-131.475,270.0,bottom
C57,93.0,-134.475,270.0,bottom
C58,105.0,-134.475,270.0,bottom
C59,117.0,-134.475,270.0,bottom
C6,166.0,-110.47,270.0,bottom
C60,129.0,-134.475,270.0,bottom
C61,141.0,-134.475,270.0,bottom
C62,153.0,-134.475,270.0,bottom
C63,165.0,-134.475,270.0,bottom
C64,95.0,-137.475,270.0,bottom
C65,107.0,-137.475,270.0,bottom
C66,119.0,-137.475,270.0,bottom
C67,131.0,-137.475,270.0,bottom
C68,143.0,-137.475,270.0,bottom
C69,155.0,-137.475,270.0,bottom
C7,178.0,-110.47,270.0,bottom
C70,97.0,-140.475,270.0,bottom
C71,109.0,-140.475,270.0,bottom
C72,121.0,-140.475,270.0,bottom
C73,133.0,-140.475,270.0,bottom
C74,141.0,-140.475,270.0,bottom
C75,93.0,-143.475,270.0,bottom
C76,105.0,-143.475,270.0,bottom
C77,117.0,-143.475,270.0,bottom
C78,129.0,-143.475,270.0,bottom
C79,101.0,-146.475,270.0,bottom
C8,103.0,-113.475,270.0,bottom
C80,113.0,-146.475,270.0,bottom
C81,125.0,-146.475,270.0,bottom
C82,106.0,-149.475,270.0,bottom
C83,118.0,-149.475,270.0,bottom
C84,111.4,-151.0,90.0,bottom
C85,98.0,-109.7,180.0,bottom
C86,97.0,-112.7,180.0,bottom
C87,96.0,-115.7,180.0,bottom
C88,95.0,-118.7,180.0,bottom
C89,92.9,-121.6,180.0,bottom
C9,115.0,-113.475,270.0,bottom
C90,91.9,-124.7,180.0,bottom
C91,90.8,-127.7,180.0,bottom
C92,88.1,-130.7,180.0,bottom
C93,87.1,-133.7,180.0,bottom
C94,86.2,-136.7,180.0,bottom
C95,85.1,-139.7,180.0,bottom
C96,84.1,-142.7,180.0,bottom
C97,83.1,-145.7,180.0,bottom
C98,94.1,-148.7,180.0,bottom
C99,183.3,-108.9,90.0,bottom
D101,100.0,-109.0,0.0,top
D102,103.0,-109.0,0.0,top
D103,106.0,-109.0,0.0,top
D104,109.0,-109.0,0.0,top
D105,112.0,-109.0,0.0,top
D106,115.0,-109.0,0.0,top
D107,118.0,-109.0,0.0,top
D108,121.0,-109.0,0.0,top
D109,124.0,-109.0,0.0,top
D110,127.0,-109.0,0.0,top
D111,130.0,-109.0,0.0,top
D112,133.0,-109.0,0.0,top
D113,136.0,-109.0,0.0,top
D114,139.0,-109.0,0.0,top
D115,142.0,-109.0,0.0,top
D116,145.0,-109.0,0.0,top
D117,148.0,-109.0,0.0,top
D118,151.0,-109.0,0.0,top
D119,154.0,-109.0,0.0,top
D120,157.0,-109.0,0.0,top
D121,160.0,-109.0,0.0,top
D122,163.0,-109.0,0.0,top
D123,166.0,-109.0,0.0,top
D124,169.0,-109.0,0.0,top
D125,172.0,-109.0,0.0,top
D126,175.0,-109.0,0.0,top
D127,178.0,-109.0,0.0,top
D128,181.0,-109.0,0.0,top
D129,99.0,-112.0,0.0,top
D130,102.0,-112.0,0.0,top
D131,105.0,-112.0,0.0,top
D132,108.0,-112.0,0.0,top
D133,111.0,-112.0,0.0,top
D134,114.0,-112.0,0.0,top
D135,117.0,-112.0,0.0,top
D136,120.0,-112.0,0.0,top
D137,123.0,-112.0,0.0,top
D138,126.0,-112.0,0.0,top
D139,129.0,-112.0,0.0,top
D140,132.0,-112.0,0.0,top
D141,135.0,-112.0,0.0,top
D142,138.0,-112.0,0.0,top
D143,141.0,-112.0,0.0,top
D144,144.0,-112.0,0.0,top
D145,147.0,-112.0,0.0,top
D146,150.0,-112.0,0.0,top
D147,153.0,-112.0,0.0,top
D148,156.0,-112.0,0.0,top
D149,159.0,-112.0,0.0,top
D150,162.0,-112.0,0.0,top
D151,165.0,-112.0,0.0,top
D152,168.0,-112.0,0.0,top
D153,171.0,-112.0,0.0,top
D154,174.0,-112.0,0.0,top
D155,177.0,-112.0,0.0,top
D156,180.0,-112.0,0.0,top
D157,98.0,-115.0,0.0,top
D158,101.0,-115.0,0.0,top
D159,104.0,-115.0,0.0,top
D160,107.0,-115.0,0.0,top
D161,110.0,-115.0,0.0,top
D162,113.0,-115.0,0.0,top
D163,116.0,-115.0,0.0,top
D164,119.0,-115.0,0.0,top
D165,122.0,-115.0,0.0,top
D166,125.0,-115.0,0.0,top
D167,128.0,-115.0,0.0,top
D168,131.0,-115.0,0.0,top
D169,134.0,-115.0,0.0,top
D170,137.0,-115.0,0.0,top
D171,140.0,-115.0,0.0,top
D172,143.0,-115.0,0.0,top
D173,146.0,-115.0,0.0,top
D174,149.0,-115.0,0.0,top
D175,152.0,-115.0,0.0,top
D176,155.0,-115.0,0.0,top
D177,158.0,-115.0,0.0,top
D178,161.0,-115.0,0.0,top
D179,164.0,-115.0,0.0,top
D180,167.0,-115.0,0.0,top
D181,170.0,-115.0,0.0,top
D182,173.0,-115.0,0.0,top
D183,176.0,-115.0,0.0,top
D184,179.0,-115.0,0.0,top
D185,97.0,-118.0,0.0,top
D186,100.0,-118.0,0.0,top
D187,103.0,-118.0,0.0,top
D188,106.0,-118.0,0.0,top
D189,109.0,-118.0,0.0,top
D190,112.0,-118.0,0.0,top
D191,115.0,-118.0,0.0,top
D192,118.0,-118.0,0.0,top
