Designator,Mid X,Mid Y,Rotation,Layer
C1,176.0,-110.47,270.0,top
C10,150.0,-113.475,270.0,top
C11,138.0,-113.475,270.0,top
C12,126.0,-113.475,270.0,top
C13,114.0,-113.475,270.0,top
C14,106.0,-113.5,270.0,top
C15,170.0,-116.475,270.0,top
C16,158.0,-116.475,270.0,top
C17,146.0,-116.475,270.0,top
C18,134.0,-116.475,270.0,top
C19,122.0,-116.475,270.0,top
C2,164.0,-110.47,270.0,top
C20,110.0,-116.475,270.0,top
C21,101.0,-116.5,270.0,top
C22,176.0,-119.475,270.0,top
C23,164.0,-119.475,270.0,top
C24,152.0,-119.475,270.0,top
C25,140.0,-119.475,270.0,top
C26,128.0,-119.475,270.0,top
C27,116.0,-119.475,270.0,top
C28,104.0,-119.475,270.0,top
C29,172.0,-122.475,270.0,top
C3,152.0,-110.47,270.0,top
C30,160.0,-122.475,270.0,top
C31,148.0,-122.475,270.0,top
C32,136.0,-122.475,270.0,top
C33,124.0,-122.475,270.0,top
C34,112.0,-122.475,270.0,top
C35,100.0,-122.475,270.0,top
C36,168.0,-125.475,270.0,top
C37,156.0,-125.475,270.0,top
C38,144.0,-125.475,270.0,top
C39,132.0,-125.475,270.0,top
C4,140.0,-110.47,270.0,top
C40,120.0,-125.475,270.0,top
C41,108.0,-125.475,270.0,top
C42,96.0,-125.475,270.0,top
C43,170.0,-128.475,270.0,top
C44,158.0,-128.475,270.0,top
C45,146.0,-128.475,270.0,top
C46,134.0,-128.475,270.0,top
C47,122.0,-128.475,270.0,top
C48,110.0,-128.475,270.0,top
C49,98.0,-128.475,270.0,top
C5,128.0,-110.47,270.0,top
C50,172.0,-131.475,270.0,top
C51,160.0,-131.475,270.0,top
C52,148.0,-131.475,270.0,top
C53,136.0,-131.475,270.0,top
C54,124.0,-131.475,270.0,top
C55,112.0,-131.475,270.0,top
C56,100.0,-131.475,270.0,top
C57,162.0,-134.475,270.0,top
C58,156.0,-134.475,270.0,top
C59,144.0,-134.475,270.0,top
C6,116.0,-110.47,270.0,top
C60,132.0,-134.475,270.0,top
C61,120.0,-134.475,270.0,top
C62,108.0,-134.475,270.0,top
C63,96.0,-134.475,270.0,top
C64,158.0,-137.475,270.0,top
C65,149.0,-137.475,270.0,top
C66,137.0,-137.475,270.0,top
C67,125.0,-137.475,270.0,top
C68,113.0,-137.475,270.0,top
C69,98.0,-137.475,270.0,top
C7,104.0,-110.47,270.0,top
C70,145.0,-140.475,270.0,top
C71,133.0,-140.475,270.0,top
C72,121.0,-140.475,270.0,top
C73,109.0,-140.475,270.0,top
C74,100.0,-140.475,270.0,top
C75,129.0,-143.475,270.0,top
C76,117.0,-143.475,270.0,top
C77,105.0,-143.475,270.0,top
C78,93.0,-143.475,270.0,top
C79,125.0,-146.475,270.0,top
C8,174.0,-113.475,270.0,top
C80,113.0,-146.475,270.0,top
C81,101.0,-146.475,270.0,top
C82,118.0,-149.475,270.0,top
C83,106.0,-149.475,270.0,top
C84,111.6,-151.0,90.0,top
C85,99.8,-109.7,180.0,top
C86,98.8,-112.7,180.0,top
C87,97.8,-115.7,180.0,top
C88,96.8,-118.7,180.0,top
C89,92.8,-121.7,180.0,top
C9,162.0,-113.475,270.0,top
C90,91.8,-124.7,180.0,top
C91,90.8,-127.7,180.0,top
